Name;Path;Data Type;Logical Address;Comment;Kind;Station
4a_Pick_and_Place_1_Z_Position_V;Standard-Variablentabelle;Real;%ED50;4a | Factory I/O: 4a_Pick & Place 1 Z Position (V);PLC;Standard-Variablentabelle
3a_Two_Axis_Pick_and_Place_0_Z_Set_Point_V;Standard-Variablentabelle;Real;%AD20;3a | Factory I/O: 3a_Two-Axis Pick & Place 0 Z Set Point (V);PLC;Standard-Variablentabelle
3a_Two_Axis_Pick_and_Place_0_X_Set_Point_V;Standard-Variablentabelle;Real;%AD16;3a | Factory I/O: 3a_Two-Axis Pick & Place 0 X Set Point (V);PLC;Standard-Variablentabelle
Gewicht;Standard-Variablentabelle;DInt;%AD24;System | Factory I/O: Gewicht;PLC;Standard-Variablentabelle
4a_Pick_and_Place_1_X_Set_Point_V;Standard-Variablentabelle;Real;%AD40;4a | Factory I/O: 4a_Pick & Place 1 X Set Point (V);PLC;Standard-Variablentabelle
4a_Pick_and_Place_1_Y_Set_Point_V;Standard-Variablentabelle;Real;%AD44;4a | Factory I/O: 4a_Pick & Place 1 Y Set Point(V);PLC;Standard-Variablentabelle
4a_Pick_and_Place_1_Z_Set_Point_V;Standard-Variablentabelle;Real;%AD48;4a | Factory I/O: 4a_Pick & Place 1 Z Set Point (V);PLC;Standard-Variablentabelle
1b_DC_1_Belt Conveyor (2m);Forderband;Bool;%A1.3;;PLC;Forderband
2b_Eck_Foerderband_MLid;Forderband;Bool;%A3.6;;PLC;Forderband
Aut_Start_Mode;Forderband;Bool;%E5.5;;PLC;Forderband
Weight_ok;Forderband;Bool;%A5.5;;PLC;Forderband
Waage0_Reset;Forderband;Bool;%E5.7;;PLC;Forderband
4a_Roller Conveyor (2m) 2;Forderband;Bool;%A8.6;;PLC;Forderband
4a_Emitt_Pallet;Forderband;Bool;%A8.7;;PLC;Forderband
4a_pick_and_place__C_Limit;Forderband;Bool;%E8.7;;PLC;Forderband
2b_Worked_Part_from_MC_out_1;Standard-Variablentabelle;Bool;%E3.0;;PLC;Standard-Variablentabelle
2b_Worked_Part_from_MC_out_2;Standard-Variablentabelle;Bool;%E3.3;;PLC;Standard-Variablentabelle
3b_Diffuse_Sensor_0;Standard-Variablentabelle;Bool;%E7.5;;PLC;Standard-Variablentabelle
4b_HMI_Start(1);Gantry_2;Bool;%M9.0;;PLC;Gantry_2
4b_HMI_Stop(1);Gantry_2;Bool;%M9.1;;PLC;Gantry_2
4b_HMI_Reset(1);Gantry_2;Bool;%M9.2;;PLC;Gantry_2
4b_HMI_Auto(1);Gantry_2;Bool;%M9.3;;PLC;Gantry_2
4b_HMI_SingleCycle(1);Gantry_2;Bool;%M9.4;;PLC;Gantry_2
4b_Pallet_Ready(1);Gantry_2;Bool;%M9.5;;PLC;Gantry_2
4b_Loading_Pallet_Active(1);Gantry_2;Bool;%M9.6;;PLC;Gantry_2
4b_Busy(1);Gantry_2;Bool;%M9.7;;PLC;Gantry_2
4b_Done(1);Gantry_2;Bool;%M10.0;;PLC;Gantry_2
4b_State(1);Gantry_2;Int;%MW30;;PLC;Gantry_2
4b_Assembly_Count(1);Gantry_2;Int;%MW34;;PLC;Gantry_2
4b_HMI_Lamp_Ready(1);Gantry_2;Bool;%M10.1;;PLC;Gantry_2
4b_HMI_Lamp_Running(1);Gantry_2;Bool;%M10.2;;PLC;Gantry_2
4b_HMI_Lamp_Done(1);Gantry_2;Bool;%M12.3;;PLC;Gantry_2
4b_HMI_Lamp_Stopped(1);Gantry_2;Bool;%M12.4;;PLC;Gantry_2
4b_HMI_Lamp_Auto(1);Gantry_2;Bool;%M12.5;;PLC;Gantry_2
4b_HMI_Lamp_Manual(1);Gantry_2;Bool;%M12.6;;PLC;Gantry_2
4b_HMI_Cycle_Count(1);Gantry_2;Int;%MW32;;PLC;Gantry_2
4b_HMI_Step_Text_ID(1);Gantry_2;Int;%MW36;;PLC;Gantry_2
3b_Two-Axis Pick & Place 1 X Position (V);Forderband;Real;%ED54;;PLC;Forderband
3b_Two-Axis Pick & Place 1 Z Set Point (V);Forderband;Real;%AD32;;PLC;Forderband
3b_Two-Axis Pick & Place 1 X Set Point (V);Forderband;Real;%AD28;;PLC;Forderband
3b_Pick_and_Place_Done;Forderband;Bool;%M0.3;;PLC;Forderband
3b_Two-Axis Pick & Place 1 Z Position (V);Forderband;Real;%ED58;;PLC;Forderband
3b_Waage 2 Weight (V);Forderband;Real;%ED62;;PLC;Forderband
3b_Diffuse_Sensor_11;Standard-Variablentabelle;Bool;%E7.6;;PLC;Standard-Variablentabelle
3b_stack_light;Forderband;Bool;%A7.5;;PLC;Forderband
4b_Diffuse Sensor 41;Standard-Variablentabelle;Bool;%E10.2;;PLC;Standard-Variablentabelle
